POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
39;88;Team Felbermayr-Proton;Bryce Miller;Nick Tandy;Abdulaziz Al-Faisal;;Porsche 911 RSR (997);M;LM GTE Pro;;;Retired;169;15:33'47.875;186 Laps;9 Laps;11;4'02.299;202.5;
40;42;Strakka Racing;Nick Leventis;Danny Watts;Jonny Kane;;Honda Performance Development Arx 01 D;M;LM P2;;;Retired;144;11:15'47.171;211 Laps;25 Laps;136;3'44.820;218.2;
41;60;Gulf AMR Middle East;Fabien Giroix;Roald Goethe;Michael Wainwright;;Aston Martin Vantage;D;LM GTE Am;;;Retired;141;12:33'55.601;214 Laps;3 Laps;24;4'04.755;200.5;
42;39;Pecom Racing;Luis Perez-Companc;Matias Russo;Pierre Kaffer;;Lola B11/40-Judd Bmw;M;LM P2;;;Retired;139;10:55'48.358;216 Laps;2 Laps;82;3'45.283;217.8;
43;89;Hankook-Team Farnbacher;Dominik Farnbacher;Allan Simonsen;Leh Keen;;Ferrari 458 Italia;H;LM GTE Pro;;;Retired;137;13:21'07.058;218 Laps;2 Laps;28;4'01.390;203.3;
44;58;Luxury Racing;Anthony Beltoise;François Jakubowski;Pierre Thiriet;;Ferrari 458 Italia;M;LM GTE Pro;;;Retired;136;15:00'19.266;219 Laps;1 Laps;11;4'02.357;202.4;
45;64;Lotus Jetalliance;Oskar Slingerland;Martin Rich;John Hartshorne;;Lotus Evora;M;LM GTE Pro;;;Retired;126;12:29'52.650;229 Laps;10 Laps;61;4'19.377;189.2;
46;57;Krohn Racing;Tracy Krohn;Niclas Jonsson;Michele Rugolo;;Ferrari F430;D;LM GTE Am;;;Retired;123;10:22'41.569;232 Laps;3 Laps;97;4'05.181;200.1;
47;24;Oak Racing;Jacques Nicolet;Richard Hein;Jean-François Yvon;;Oak Pescarolo-Judd;D;LM P1;;;Retired;119;9:07'45.055;236 Laps;4 Laps;79;3'45.127;217.9;
48;1;Audi Sport Team Joest;Timo Bernhard;Romain Dumas;Mike Rockenfeller;;Audi R18 TDI;M;LM P1;;;Retired;116;7:37'45.596;239 Laps;3 Laps;3;3'28.389;235.4;
49;5;Hope Racing;Steve Zacchia;Jan Lammers;Casper Elgaard;;Oreca Swiss Hy Tech-Hybrid;M;LM P1;;;Retired;115;13:44'09.589;240 Laps;1 Laps;40;3'50.255;213.1;
50;62;CRS Racing;Pierre Ehret;Shaun Lynn;Roger Wills;;Ferrari F430;M;LM GTE Am;;;Retired;84;6:39'21.429;271 Laps;31 Laps;77;4'08.998;197.0;
51;15;Oak Racing;Tiago Monteiro;Guillaume Moreau;Pierre Ragues;;Oak Pescarolo-Judd;D;LM P1;;;Retired;80;11:03'19.563;275 Laps;4 Laps;48;3'38.674;224.4;
52;79;Jota;Simon Dolan;Sam Hancock;Chris Buncombe;;Aston Martin Vantage;D;LM GTE Pro;;;Retired;74;5:56'59.061;281 Laps;6 Laps;29;4'02.871;202.0;
53;20;Quifel-Asm Team;Miguel Amaral;Olivier Pla;Warren Hughes;;Zytek 09 SC;D;LM P1;;;Retired;48;3:36'46.406;307 Laps;26 Laps;2;3'40.191;222.8;
54;3;Audi Sport North America;Rinaldo Capello;Tom Kristensen;Allan McNish;;Audi R18 TDI;M;LM P1;;;Retired;14;50'17.657;341 Laps;34 Laps;3;3'28.462;235.4;
55;1007;Aston Martin Racing;Christian Klien;Stefan Mucke;Darren Turner;;Aston Martin AMR-One;M;LM P1;;;Retired;4;3:12'39.346;351 Laps;10 Laps;2;3'48.099;215.1;
56;1009;Aston Martin Racing;Adrian Fernandez;Andy Meyrick;Harold Primat;;Aston Martin AMR-One;M;LM P1;;;Retired;2;7'56.424;353 Laps;2 Laps;2;3'51.783;211.7;
