POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;DRIVER_5;
43;89;Team Project 1;Steve BROOKS;Julien PIGUET;Andreas LASKARATOS;;Porsche 911 RSR;M;LMGTE Am;;;Classified;313;24:02'46.180;74 Laps;3 Laps;288;3'56.621;207.3;;
44;39;SO24-Has by Graff;James ALLEN;Vincent CAPILLAIRE;Charles MILESI;;Oreca 07 - Gibson;M;LMP2;;;Not classified;357;23:15'48.615;30 Laps;-44 Laps;3;3'30.423;233.1;;
45;71;AF Corse;Davide RIGON;Miguel MOLINA;Sam BIRD;;Ferrari 488 GTE Evo;M;LMGTE Pro;;;Not classified;340;23:58'50.020;47 Laps;17 Laps;219;3'52.059;211.4;;
46;72;Hub Auto Racing;Morris CHEN;Tom BLOMQVIST;Marcos GOMES;;Ferrari 488 GTE Evo;M;LMGTE Am;;;Not classified;273;20:06'06.609;114 Laps;67 Laps;271;3'53.878;209.7;;
47;88;Dempsey - Proton Racing;Thomas PREINING;Dominique BASTIEN;Adrien DE LEENER;;Porsche 911 RSR;M;LMGTE Am;;;Not classified;238;24:06'00.292;149 Laps;35 Laps;4;3'55.339;208.4;;
48;75;Iron Lynx;Rino MASTRONARDI;Matteo CRESSONI;Andrea PICCINI;;Ferrari 488 GTE Evo;M;LMGTE Am;;;Not classified;211;15:42'35.591;176 Laps;27 Laps;193;3'54.734;209.0;;
49;21;DragonSpeed USA;Juan Pablo MONTOYA;Timothé BURET;Memo ROJAS;;Oreca 07 - Gibson;M;LMP2;;;Retired;192;12:57'52.187;195 Laps;19 Laps;173;3'31.584;231.8;;
50;63;WeatherTech Racing;Cooper MACNEIL;Toni VILANDER;Jeffrey SEGAL;;Ferrari 488 GTE Evo;M;LMGTE Pro;;;Retired;185;13:41'12.528;202 Laps;7 Laps;3;3'52.056;211.4;;
51;70;MR Racing;Takeshi KIMURA;Vincent ABRIL;Kei COZZOLINO;;Ferrari 488 GTE Evo;M;LMGTE Am;;;Retired;172;13:23'15.074;215 Laps;13 Laps;151;3'53.677;209.9;;
52;16;G-Drive Racing by Algarve;Ryan CULLEN;Oliver JARVIS;Nicholas TANDY;;Aurus 01 - Gibson;G;LMP2;;;Retired;105;7:44'11.624;282 Laps;67 Laps;45;3'30.570;233.0;;
53;30;Duqueine Team;Jonathan HIRSCHI;Konstantin TERESCHENKO;Tristan GOMMENDY;;Oreca 07 - Gibson;M;LMP2;;;Retired;100;6:30'06.632;287 Laps;5 Laps;46;3'31.429;232.0;;
54;4;Bykolles Racing Team;Tom DILLMANN;Bruno SPENGLER;Oliver WEBB;;ENSO CLM P1/01 - Gibson;M;LMP1;;;Retired;97;6:49'35.608;290 Laps;3 Laps;4;3'27.680;236.2;;
55;33;High Class Racing;Kenta YAMASHITA;Mark PATTERSON;Anders FJORDBACH;;Oreca 07 - Gibson;M;LMP2;;;Retired;88;11:33'21.552;299 Laps;9 Laps;3;3'31.018;232.5;;
56;52;AF Corse;Christoph ULRICH;Steffen GÖRIG;Alexander WEST;;Ferrari 488 GTE Evo;M;LMGTE Am;;;Retired;80;5:40'44.154;307 Laps;8 Laps;65;4'02.204;202.5;;
57;55;Spirit of Race;Duncan CAMERON;Aaron SCOTT;Matthew GRIFFIN;;Ferrari 488 GTE Evo;M;LMGTE Am;;;Retired;78;6:20'12.957;309 Laps;2 Laps;9;3'55.891;208.0;;
58;11;Eurointernational;Adrien TAMBAY;Erik MARIS;Christophe D'ANSEMBOURG;;Ligier JSP217 - Gibson;M;LMP2;;;Retired;26;1:40'32.248;361 Laps;52 Laps;5;3'35.008;228.1;;
59;37;Jackie Chan DC Racing;Ho-Pin TUNG;Gabriel AUBRY;Will STEVENS;;Oreca 07 - Gibson;G;LMP2;;;Classified;141;10:51'53.595;246 Laps;-115 Laps;122;3'30.490;233.0;;
