POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;7;Toyota Racing;Alexander WURZ;Nicolas LAPIERRE;Kazuki NAKAJIMA;;Toyota TS030 - Hybrid;M;LMP1;;;Classified;16;2:56'05.785;;;3;2'39.727;102.8;
2;2;Audi Sport Team Joest;Tom KRISTENSEN;Loïc DUVAL;Allan McNISH;;Audi R18 e-tron quattro;M;LMP1;;;Classified;16;2:56'07.686;1.901;1.901;3;2'39.551;103.0;
3;12;Rebellion Racing;Andrea BELICCHI;Mathias BECHE;;;Lola B12/60 Coupé - Toyota;M;LMP1;;LMP1 PRIVA;Classified;16;2:56'09.657;3.872;1.971;3;2'39.192;103.2;
4;35;OAK Racing;Bertrand BAGUETTE;Ricardo GONZALEZ;Martin PLOWMAN;;Morgan - Nissan;D;LMP2;;LMP2;Classified;16;2:56'11.916;6.131;2.259;3;2'37.898;104.0;
5;26;G-Drive Racing;Roman RUSINOV;John MARTIN;Mike CONWAY;;Oreca 03 - Nissan;D;LMP2;;LMP2;Classified;16;2:56'14.009;8.224;2.093;3;2'37.688;104.2;
6;27;Gainer International;Katsuyuki HIRANAKA;Masayuki UEDA;Björn WIRDHEIM;;Zytek Z11SN - Nissan;D;LMP2;;LMP2;Classified;16;2:56'16.840;11.055;2.831;3;2'36.726;104.8;
7;24;OAK Racing;Olivier PLA;David HEINEMEIER HANSSON;Alex BRUNDLE;;Morgan - Nissan;D;LMP2;;LMP2;Classified;16;2:56'18.619;12.834;1.779;3;2'36.885;104.7;
8;25;Delta-ADR;Tor GRAVES;James WALKER;Shinji NAKANO;;Oreca 03 - Nissan;D;LMP2;;LMP2;Classified;16;2:56'21.108;15.323;2.489;3;2'36.218;105.2;
9;47;KCMG;Richard BRADLEY;Hiroshi KOIZUMI;Tsugio MATSUDA;;Morgan - Nissan;M;LMP2;;LMP2;Classified;16;2:56'25.354;19.569;4.246;3;2'36.772;104.8;
10;49;Pecom Racing;Luis PEREZ COMPANC;Nicolas MINASSIAN;Pierre KAFFER;;Oreca 03 - Nissan;M;LMP2;;LMP2;Classified;16;2:56'27.279;21.494;1.925;5;2'37.755;104.1;
11;32;Lotus;Thomas HOLZER;Dominik KRAIHAMER;Jan CHAROUZ;;Lotus T128;D;LMP2;;LMP2;Classified;16;2:56'29.588;23.803;2.309;6;2'35.928;105.3;
12;45;OAK Racing;Jacques NICOLET;Keiko IHARA;;;Morgan - Nissan;D;LMP2;;LMP2;Classified;16;2:56'41.442;35.657;11.854;6;2'36.589;104.9;
13;97;Aston Martin Racing;Darren TURNER;Stefan MÜCKE;Frédéric MAKOWIECKI;;Aston Martin Vantage V8;M;LMGTE Pro;;LMGTE Pro;Classified;16;2:56'44.685;38.900;3.243;5;2'35.648;105.5;
14;51;AF Corse;Gianmaria BRUNI;Giancarlo FISICHELLA;;;Ferrari F458 Italia;M;LMGTE Pro;;LMGTE Pro;Classified;16;2:56'47.729;41.944;3.044;5;2'36.486;105.0;
15;91;Porsche AG Team Manthey;Jörg BERGMEISTER;Patrick PILET;;;Porsche 911 RSR;M;LMGTE Pro;;LMGTE Pro;Classified;16;2:56'50.640;44.855;2.911;5;2'36.214;105.2;
16;92;Porsche AG Team Manthey;Marc LIEB;Richard LIETZ;;;Porsche 911 RSR;M;LMGTE Pro;;LMGTE Pro;Classified;16;2:57'01.096;55.311;10.456;5;2'36.048;105.3;
17;95;Aston Martin Racing;Christoffer NYGAARD;Kristian POULSEN;Bruno SENNA;;Aston Martin Vantage V8;M;LMGTE Am;;LMGTE Am;Classified;16;2:57'03.453;57.668;2.357;3;2'35.890;105.4;
18;96;Aston Martin Racing;Stuart HALL;Jamie CAMPBELL-WALTER;Jonathan ADAM;;Aston Martin Vantage V8;M;LMGTE Am;;LMGTE Am;Classified;16;2:57'07.426;1'01.641;3.973;3;2'35.161;105.9;
19;88;Proton Competition;Christian RIED;Gianluca RODA;Paolo RUBERTI;;Porsche 911 GT3 RSR;M;LMGTE Am;;LMGTE Am;Classified;16;2:57'09.322;1'03.537;1.896;3;2'35.194;105.8;
20;81;8 Star Motorsports;Vicente POTOLICCHIO;Rui AGUAS;Davide RIGON;;Ferrari F458 Italia;M;LMGTE Am;;LMGTE Am;Classified;16;2:57'11.736;1'05.951;2.414;3;2'35.557;105.6;
21;71;AF Corse;Kamui KOBAYASHI;Toni VILANDER;;;Ferrari F458 Italia;M;LMGTE Pro;;LMGTE Pro;Classified;16;2:57'21.329;1'15.544;9.593;3;2'34.434;106.4;
