car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Iron Dames #85,28,5,Iron Dames,Ferrari 488 GTE Evo,LMGTE Am,,Sebring,8,2022,156,6:01:55.903,14 Laps,1 Laps,Michelin,Classified,156.0,2:00.639,179.6,Rahel FREY,Michelle GATTING,Sarah BOVY
D'Station Racing #777,29,6,D'Station Racing,Aston Martin Vantage AMR,LMGTE Am,,Sebring,8,2022,155,6:00:36.475,15 Laps,1 Laps,Michelin,Classified,92.0,2:00.547,179.8,Satoshi HOSHINO,Tomonobu FUJII,Charles FAGG
AF Corse #21,30,7,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Sebring,8,2022,155,6:01:03.503,15 Laps,27.028,Michelin,Classified,82.0,2:00.892,179.2,Simon MANN,Christoph ULRICH,Toni VILANDER
Iron Lynx #60,31,8,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,Sebring,8,2022,154,5:59:51.290,16 Laps,1 Laps,Michelin,Classified,66.0,2:00.655,179.6,Claudio SCHIAVONI,Matteo CRESSONI,Giancarlo FISICHELLA
AF Corse #54,32,9,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Sebring,8,2022,154,6:00:01.740,16 Laps,10.450,Michelin,Classified,132.0,2:00.903,179.2,Thomas FLOHR,Francesco CASTELLACCI,Nicholas CASSIDY
Dempsey - Proton Racing #88,33,10,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,Sebring,8,2022,145,6:01:05.161,25 Laps,9 Laps,Michelin,Classified,96.0,2:00.272,180.2,Fred POORDAD,Patrick LINDSEY,Julien ANDLAUER
Spirit of Race #71,34,11,Spirit of Race,Ferrari 488 GTE Evo,LMGTE Am,,Sebring,8,2022,122,5:26:06.852,48 Laps,23 Laps,Michelin,Classified,94.0,2:01.074,179.0,Franck DEZOTEUX,Pierre RAGUES,Gabriel AUBRY
Team Project 1 #46,35,12,Team Project 1,Porsche 911 RSR - 19,LMGTE Am,,Sebring,8,2022,86,2:59:57.081,84 Laps,36 Laps,Michelin,Classified,15.0,1:59.194,181.8,Matteo CAIROLI,Mikkel PEDERSEN,Nicolas LEUTWILER
Toyota Gazoo Racing #7,36,4,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Sebring,8,2022,110,3:28:51.927,60 Laps,-24 Laps,Michelin,Retired,15.0,1:50.276,196.5,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ
Toyota Gazoo Racing #8,1,1,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,LeMans,24,2022,380,24:02:07.996,,,Michelin,Classified,56.0,3:27.906,235.9,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA
Toyota Gazoo Racing #7,2,2,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,LeMans,24,2022,380,24:04:09.218,2'01.222,2'01.222,Michelin,Classified,371.0,3:27.749,236.1,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ
