car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Toyota Racing #8,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Silverstone,6,2014,167,5:22:42.296,,,Michelin,Classified,112.0,1:44.646,202.7,Anthony DAVIDSON,Nicolas LAPIERRE,Sébastien BUEMI
Toyota Racing #7,2,2,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Silverstone,6,2014,166,5:23:14.056,1 Laps,1 Laps,Michelin,Classified,17.0,1:44.326,203.3,Alexander WURZ,Stéphane SARRAZIN,Kazuki NAKAJIMA
Porsche Team #20,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,H,Silverstone,6,2014,165,5:22:47.120,2 Laps,1 Laps,Michelin,Classified,4.0,1:45.245,201.5,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Rebellion Racing #12,4,4,Rebellion Racing,Lola B12/60 - Toyota,LMP1,L,Silverstone,6,2014,159,5:23:52.071,8 Laps,6 Laps,Michelin,Classified,5.0,1:47.195,197.8,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
G-Drive Racing #26,5,1,G-Drive Racing,Morgan - Nissan,LMP2,,Silverstone,6,2014,154,5:24:15.065,13 Laps,5 Laps,Dunlop,Classified,3.0,1:51.339,190.5,Roman RUSINOV,Olivier PLA,Julien CANAL
KCMG #47,6,2,KCMG,Oreca 03 - Nissan,LMP2,,Silverstone,6,2014,152,5:22:59.911,15 Laps,2 Laps,Dunlop,Classified,4.0,1:51.597,190.0,Matthew HOWSON,Richard BRADLEY,Tsugio MATSUDA
Porsche Team Manthey #92,7,1,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Silverstone,6,2014,147,5:23:11.855,20 Laps,5 Laps,Michelin,Classified,3.0,2:00.963,175.3,Marco HOLZER,Frédéric MAKOWIECKI,Richard LIETZ
Porsche Team Manthey #91,8,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Silverstone,6,2014,147,5:23:57.636,20 Laps,45.781,Michelin,Classified,3.0,2:01.075,175.2,Patrick PILET,Jörg BERGMEISTER,Nick TANDY
Aston Martin Racing #97,9,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Silverstone,6,2014,147,5:24:39.700,20 Laps,42.064,Michelin,Classified,3.0,2:02.054,173.7,Darren TURNER,Stefan MÜCKE,
AF Corse #51,10,4,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Silverstone,6,2014,147,5:25:11.062,20 Laps,31.362,Michelin,Classified,3.0,2:01.282,174.9,Gianmaria BRUNI,Toni VILANDER,
AF Corse #71,11,5,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Silverstone,6,2014,146,5:25:06.489,21 Laps,1 Laps,Michelin,Classified,3.0,2:01.909,174.0,Davide RIGON,James CALADO,
RAM Racing #52,12,6,RAM Racing,Ferrari F458 Italia,LMGTE Pro,,Silverstone,6,2014,146,5:25:09.645,21 Laps,3.156,Michelin,Classified,97.0,2:02.651,172.9,Matt GRIFFIN,Alvaro PARENTE,
SMP Racing #27,13,3,SMP Racing,Oreca 03 - Nissan,LMP2,,Silverstone,6,2014,145,5:23:53.313,22 Laps,1 Laps,Michelin,Classified,4.0,1:52.798,188.0,Serguey ZLOBIN,Nicolas MINASSIAN,Maurizio MEDIANI
Aston Martin Racing #99,14,7,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Silverstone,6,2014,144,5:23:56.399,23 Laps,1 Laps,Michelin,Classified,48.0,2:02.549,173.0,Alex MACDOWALL,Darryl O'YOUNG,Fernando REES
Aston Martin Racing #95,15,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Silverstone,6,2014,144,5:25:05.013,23 Laps,1'08.614,Michelin,Classified,114.0,2:02.656,172.9,Kristian POULSEN,David HEINEMEIR HANSSON,Nicki THIIM
Aston Martin Racing #98,16,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Silverstone,6,2014,144,5:25:12.509,23 Laps,7.496,Michelin,Classified,4.0,2:02.212,173.5,Paul DALLA LANA,Pedro LAMY,Christoffer NYGAARD
AF Corse #81,17,3,AF Corse,Ferrari F458 Italia,LMGTE Am,,Silverstone,6,2014,143,5:25:12.924,24 Laps,1 Laps,Michelin,Classified,3.0,2:02.147,173.6,Stephen WYATT,Michele RUGOLO,Sam BIRD
Proton Competition #88,18,4,Proton Competition,Porsche 911 RSR,LMGTE Am,,Silverstone,6,2014,142,5:24:35.104,25 Laps,1 Laps,Michelin,Classified,3.0,2:02.414,173.2,Christian RIED,Klaus BACHLER,Khaled AL QUBAISI
RAM Racing #53,19,5,RAM Racing,Ferrari F458 Italia,LMGTE Am,,Silverstone,6,2014,141,5:24:35.564,26 Laps,1 Laps,Michelin,Classified,39.0,2:04.077,170.9,Johnny MOWLEM,Mark PATTERSON,Ben COLLINS
AF Corse #61,20,6,AF Corse,Ferrari F458 Italia,LMGTE Am,,Silverstone,6,2014,141,5:24:40.020,26 Laps,4.456,Michelin,Classified,3.0,2:02.706,172.8,Luis PEREZ-COMPANC,Marco CIOCI,Mirko VENTURI
Audi Sport Team Joest #2,21,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Silverstone,6,2014,94,3:03:21.796,73 Laps,47 Laps,Michelin,Not classified,17.0,1:44.217,203.5,Marcel FÄSSLER,André LOTTERER,Benoit TRÉLUYER
Prospeed Competition #75,22,7,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Am,,Silverstone,6,2014,83,3:07:49.251,84 Laps,11 Laps,Michelin,Not classified,72.0,2:04.015,171.0,François PERRODO,Emmanuel COLLARD,Matthieu VAXIVIÈRE
SMP Racing #37,23,4,SMP Racing,Oreca 03 - Nissan,LMP2,,Silverstone,6,2014,65,2:19:23.736,102 Laps,18 Laps,Michelin,Not classified,5.0,1:52.734,188.1,Kirill LADYGIN,Viktor SHAITAR,Anton LADYGIN
Porsche Team #14,24,6,Porsche Team,Porsche 919 Hybrid,LMP1,H,Silverstone,6,2014,30,1:16:04.499,137 Laps,35 Laps,Michelin,Not classified,6.0,1:45.452,201.1,Romain DUMAS,Neel JANI,Marc LIEB
Rebellion Racing #13,25,7,Rebellion Racing,Lola B12/60 - Toyota,LMP1,L,Silverstone,6,2014,24,47:36.114,143 Laps,6 Laps,Michelin,Not classified,5.0,1:47.120,198.0,Dominik KRAIHAMER,Andrea BELICCHI,Fabio LEIMER
Audi Sport Team Joest #1,26,8,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Silverstone,6,2014,24,54:08.972,143 Laps,6'32.858,Michelin,Not classified,17.0,1:44.656,202.6,Lucas DI GRASSI,Loïc DUVAL,Tom KRISTENSEN
8 Star Motorsports #90,27,8,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,,Silverstone,6,2014,118,4:29:24.266,49 Laps,-94 Laps,Michelin,Retired,3.0,2:02.878,172.6,Vicente POTOLICCHIO,Gianluca RODA,Paolo RUBERTI
Toyota Racing #8,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Spa,6,2014,171,6:01:31.675,,,Michelin,Classified,119.0,2:01.327,207.8,Anthony DAVIDSON,Nicolas LAPIERRE,Sébastien BUEMI
Audi Sport Team Joest #1,2,2,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Spa,6,2014,171,6:02:45.601,1'13.926,1'13.926,Michelin,Classified,7.0,2:02.600,205.7,Lucas DI GRASSI,Loïc DUVAL,Tom KRISTENSEN
Toyota Racing #7,3,3,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Spa,6,2014,171,6:02:52.536,1'20.861,6.935,Michelin,Classified,23.0,2:02.089,206.5,Alexander WURZ,Stéphane SARRAZIN,Kazuki NAKAJIMA
Porsche Team #14,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,H,Spa,6,2014,170,6:02:06.145,1 Laps,1 Laps,Michelin,Classified,3.0,2:01.898,206.8,Romain DUMAS,Neel JANI,Marc LIEB
Audi Sport Team Joest #2,5,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Spa,6,2014,170,6:02:58.145,1 Laps,52.000,Michelin,Classified,7.0,2:03.018,205.0,Marcel FÄSSLER,André LOTTERER,Benoit TRÉLUYER
Audi Sport Team Joest #3,6,6,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Spa,6,2014,169,6:01:41.952,2 Laps,1 Laps,Michelin,Classified,51.0,2:03.383,204.4,Filipe ALBUQUERQUE,Marco BONANOMI,
Rebellion Racing #12,7,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Spa,6,2014,161,6:03:43.512,10 Laps,8 Laps,Michelin,Classified,62.0,2:08.928,195.6,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
G-Drive Racing #26,8,1,G-Drive Racing,Morgan - Nissan,LMP2,,Spa,6,2014,160,6:02:16.828,11 Laps,1 Laps,Dunlop,Classified,134.0,2:10.112,193.8,Roman RUSINOV,Olivier PLA,Julien CANAL
Jota Sport #38,9,2,Jota Sport,Zytek Z11SN - Nissan,LMP2,,Spa,6,2014,160,6:03:28.024,11 Laps,1'11.196,Dunlop,Classified,89.0,2:10.657,193.0,Simon DOLAN,Harry TINCKNELL,Marc GENÉ
KCMG #47,10,3,KCMG,Oreca 03 - Nissan,LMP2,,Spa,6,2014,159,6:03:13.494,12 Laps,1 Laps,Dunlop,Classified,3.0,2:10.625,193.0,Matthew HOWSON,Richard BRADLEY,Alexandre IMPERATORI
SMP Racing #37,11,4,SMP Racing,Oreca 03 - Nissan,LMP2,,Spa,6,2014,158,6:01:32.946,13 Laps,1 Laps,Michelin,Classified,127.0,2:11.096,192.3,Kirill LADYGIN,Viktor SHAITAR,Anton LADYGIN
SMP Racing #27,12,5,SMP Racing,Oreca 03 - Nissan,LMP2,,Spa,6,2014,158,6:02:42.799,13 Laps,1'09.853,Michelin,Classified,3.0,2:10.686,192.9,Sergey ZLOBIN,Nicolas MINASSIAN,Maurizio MEDIANI
AF Corse #51,13,1,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Spa,6,2014,152,6:03:44.950,19 Laps,6 Laps,Michelin,Classified,2.0,2:19.653,180.5,Gianmaria BRUNI,Toni VILANDER,
Porsche Team Manthey #91,14,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Spa,6,2014,151,6:01:48.577,20 Laps,1 Laps,Michelin,Classified,139.0,2:20.000,180.1,Patrick PILET,Jörg BERGMEISTER,
AF Corse #71,15,3,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Spa,6,2014,151,6:02:00.192,20 Laps,11.615,Michelin,Classified,54.0,2:19.624,180.6,Davide RIGON,James CALADO,
Aston Martin Racing #97,16,4,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Spa,6,2014,151,6:02:10.181,20 Laps,9.989,Michelin,Classified,2.0,2:20.289,179.7,Darren TURNER,Stefan MÜCKE,Bruno SENNA
Aston Martin Racing #99,17,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Spa,6,2014,150,6:02:40.637,21 Laps,1 Laps,Michelin,Classified,111.0,2:20.217,179.8,Alex MACDOWALL,Darryl O'YOUNG,Fernando REES
AF Corse #61,18,1,AF Corse,Ferrari F458 Italia,LMGTE Am,,Spa,6,2014,149,6:01:46.306,22 Laps,1 Laps,Michelin,Classified,80.0,2:20.590,179.3,Luis PEREZ-COMPANC,Marco CIOCI,Mirko VENTURI
Aston Martin Racing #95,19,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Spa,6,2014,149,6:02:18.547,22 Laps,32.241,Michelin,Classified,21.0,2:20.748,179.1,Kristian POULSEN,David HEINEMEIR HANSSON,Richie STANAWAY
Aston Martin Racing #98,20,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Spa,6,2014,149,6:02:42.378,22 Laps,23.831,Michelin,Classified,125.0,2:20.334,179.7,Paul DALLA LANA,Pedro LAMY,Christoffer NYGAARD
Porsche Team Manthey #92,21,6,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Spa,6,2014,148,6:01:43.834,23 Laps,1 Laps,Michelin,Classified,107.0,2:20.042,180.0,Marco HOLZER,Frédéric MAKOWIECKI,
Proton Competition #88,22,4,Proton Competition,Porsche 911 RSR,LMGTE Am,,Spa,6,2014,148,6:02:41.399,23 Laps,57.565,Michelin,Classified,114.0,2:20.506,179.5,Christian RIED,Klaus BACHLER,Khaled AL QUBAISI
Porsche Team #20,23,8,Porsche Team,Porsche 919 Hybrid,LMP1,H,Spa,6,2014,148,6:02:58.784,23 Laps,17.385,Michelin,Classified,4.0,2:02.682,205.5,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
AF Corse #81,24,5,AF Corse,Ferrari F458 Italia,LMGTE Am,,Spa,6,2014,148,6:03:08.557,23 Laps,9.773,Michelin,Classified,59.0,2:20.367,179.6,Stephen WYATT,Michele RUGOLO,Andrea BERTOLINI
Prospeed Competition #75,25,6,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Am,,Spa,6,2014,146,6:03:10.224,25 Laps,2 Laps,Michelin,Classified,2.0,2:21.617,178.0,François PERRODO,Emmanuel COLLARD,Matthieu VAXIVIÈRE
AF Corse #60,26,7,AF Corse,Ferrari F458 Italia,LMGTE Am,,Spa,6,2014,145,6:02:03.295,26 Laps,1 Laps,Michelin,Classified,6.0,2:20.688,179.2,Peter MANN,Raffaele GIAMMARIA,Lorenzo CASÉ
8 Star Motorsports #90,27,8,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,,Spa,6,2014,142,6:03:24.142,29 Laps,3 Laps,Michelin,Classified,6.0,2:20.020,180.1,Vicente POTOLICCHIO,Gianluca RODA,Paolo RUBERTI
Rebellion Racing #13,28,9,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Spa,6,2014,47,4:46:18.036,124 Laps,95 Laps,Michelin,Not classified,14.0,2:13.217,189.3,Dominik KRAIHAMER,Andrea BELICCHI,Fabio LEIMER
Toyota Racing #7,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Bahrain,6,2014,195,6:00:18.056,,,Michelin,Classified,80.0,1:46.377,183.2,Alexander WURZ,Stéphane SARRAZIN,Mike CONWAY
Porsche Team #14,2,2,Porsche Team,Porsche 919 Hybrid,LMP1,H,Bahrain,6,2014,195,6:01:08.516,50.460,50.460,Michelin,Classified,156.0,1:46.157,183.5,Romain DUMAS,Neel JANI,Marc LIEB
Porsche Team #20,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,H,Bahrain,6,2014,195,6:01:15.324,57.268,6.808,Michelin,Classified,82.0,1:46.388,183.1,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Audi Sport Team Joest #2,4,4,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Bahrain,6,2014,194,6:02:01.016,1 Laps,1 Laps,Michelin,Classified,49.0,1:46.126,183.6,Marcel FÄSSLER,André LOTTERER,Benoit TRÉLUYER
Audi Sport Team Joest #1,5,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Bahrain,6,2014,193,6:01:31.231,2 Laps,1 Laps,Michelin,Classified,132.0,1:46.142,183.6,Lucas DI GRASSI,Loïc DUVAL,Tom KRISTENSEN
Rebellion Racing #13,6,6,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Bahrain,6,2014,188,6:01:52.512,7 Laps,5 Laps,Michelin,Classified,146.0,1:50.022,177.1,Dominik KRAIHAMER,Andrea BELICCHI,Fabio LEIMER
Rebellion Racing #12,7,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Bahrain,6,2014,182,6:01:51.857,13 Laps,6 Laps,Michelin,Classified,164.0,1:49.164,178.5,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
KCMG #47,8,1,KCMG,Oreca 03R - Nissan,LMP2,,Bahrain,6,2014,181,6:02:05.985,14 Laps,1 Laps,Dunlop,Classified,10.0,1:53.178,172.1,Matthew HOWSON,Richard BRADLEY,Alexandre IMPERATORI
SMP Racing #37,9,2,SMP Racing,Oreca 03R - Nissan,LMP2,,Bahrain,6,2014,178,6:00:52.239,17 Laps,3 Laps,Michelin,Classified,9.0,1:53.056,172.3,Kirill LADYGIN,Viktor SHAITAR,Anton LADYGIN
OAK Racing #35,10,3,OAK Racing,Morgan - Judd,LMP2,,Bahrain,6,2014,178,6:01:42.087,17 Laps,49.848,Dunlop,Classified,24.0,1:55.916,168.1,Mark PATTERSON,Keiko IHARA,David CHENG
Toyota Racing #8,11,8,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Bahrain,6,2014,177,6:00:18.376,18 Laps,1 Laps,Michelin,Classified,122.0,1:45.989,183.8,Anthony DAVIDSON,Sébastien BUEMI,
G-Drive Racing #26,12,4,G-Drive Racing,Ligier JS P2 - Nissan,LMP2,,Bahrain,6,2014,177,6:02:02.077,18 Laps,1'43.701,Dunlop,Classified,154.0,1:52.283,173.5,Roman RUSINOV,Olivier PLA,Julien CANAL
AF Corse #51,13,1,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Bahrain,6,2014,173,6:00:26.170,22 Laps,4 Laps,Michelin,Classified,119.0,2:00.003,162.4,Gianmaria BRUNI,Toni VILANDER,
Aston Martin Racing #97,14,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Bahrain,6,2014,173,6:00:28.049,22 Laps,1.879,Michelin,Classified,152.0,2:00.141,162.2,Darren TURNER,Stefan MÜCKE,
AF Corse #71,15,3,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Bahrain,6,2014,173,6:01:11.913,22 Laps,43.864,Michelin,Classified,125.0,2:00.843,161.2,Davide RIGON,James CALADO,
Porsche Team Manthey #91,16,4,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Bahrain,6,2014,173,6:01:14.437,22 Laps,2.524,Michelin,Classified,125.0,2:00.611,161.5,Jörg BERGMEISTER,Richard LIETZ,
Porsche Team Manthey #92,17,5,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Bahrain,6,2014,172,6:00:31.896,23 Laps,1 Laps,Michelin,Classified,98.0,2:00.246,162.0,Frédéric MAKOWIECKI,Patrick PILET,
Aston Martin Racing #95,18,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Bahrain,6,2014,172,6:02:23.313,23 Laps,1'51.417,Michelin,Classified,124.0,2:00.382,161.8,Kristian POULSEN,David HEINEMEIER-HANSSON,Nicki THIIM
AF Corse #81,19,2,AF Corse,Ferrari F458 Italia,LMGTE Am,,Bahrain,6,2014,171,6:01:01.141,24 Laps,1 Laps,Michelin,Classified,61.0,2:00.425,161.8,Stephen WYATT,Michele RUGOLO,Andrea BERTOLINI
Aston Martin Racing #98,20,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Bahrain,6,2014,171,6:01:25.953,24 Laps,24.812,Michelin,Classified,119.0,2:00.792,161.3,Paul DALLA LANA,Pedro LAMY,Christoffer NYGAARD
Proton Competition #88,21,4,Proton Competition,Porsche 911 RSR,LMGTE Am,,Bahrain,6,2014,170,6:00:19.916,25 Laps,1 Laps,Michelin,Classified,152.0,2:01.240,160.7,Christian RIED,Klaus BACHLER,Khaled AL QUBAISI
8 Star Motorsports #90,22,5,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,,Bahrain,6,2014,170,6:01:20.720,25 Laps,1'00.804,Michelin,Classified,144.0,2:01.321,160.6,Gianluca RODA,Paolo RUBERTI,Matteo CRESSONI
AF Corse #61,23,6,AF Corse,Ferrari F458 Italia,LMGTE Am,,Bahrain,6,2014,170,6:01:33.264,25 Laps,12.544,Michelin,Classified,145.0,2:00.925,161.1,Alexander TALKANITSA,Alessandro PIER GUIDI,Jeffrey SEGAL
Aston Martin Racing #99,24,6,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Bahrain,6,2014,170,6:01:38.735,25 Laps,5.471,Michelin,Classified,116.0,2:00.354,161.9,Alex MACDOWALL,Fernando REES,Abdulaziz AL FAISAL
Prospeed Competition #75,25,7,Prospeed Competition,Porsche 911 RSR,LMGTE Am,,Bahrain,6,2014,170,6:02:13.584,25 Laps,34.849,Michelin,Classified,145.0,2:01.459,160.4,François PERRODO,Emmanuel COLLARD,Matthieu VAXIVIÈRE
SMP Racing #27,26,5,SMP Racing,Oreca 03R - Nissan,LMP2,,Bahrain,6,2014,171,5:45:33.303,24 Laps,-1 Laps,Michelin,Not classified,8.0,1:52.999,172.4,Sergey ZLOBIN,Nicolas MINASSIAN,Maurizio MEDIANI
Lotus #9,27,9,Lotus,CLM P1/01 - AER,LMP1,L,Bahrain,6,2014,1,1:59.627,194 Laps,170 Laps,Michelin,Not classified,,,,Pierre KAFFER,Simon TRUMMER,Nathanael BERTHON
Audi Sport Team Joest #2,1,1,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Cota,6,2014,157,6:01:52.122,,,Michelin,Classified,134.0,1:51.521,178.1,Marcel FÄSSLER,André LOTTERER,Benoit TRÉLUYER
Audi Sport Team Joest #1,2,2,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Cota,6,2014,157,6:02:45.138,53.016,53.016,Michelin,Classified,127.0,1:50.782,179.2,Lucas DI GRASSI,Loïc DUVAL,Tom KRISTENSEN
Toyota Racing #8,3,3,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Cota,6,2014,157,6:02:56.067,1'03.945,10.929,Michelin,Classified,138.0,1:50.390,179.9,Anthony DAVIDSON,Nicolas LAPIERRE,Sébastien BUEMI
Porsche Team #14,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,H,Cota,6,2014,156,6:01:56.755,1 Laps,1 Laps,Michelin,Classified,43.0,1:51.506,178.1,Romain DUMAS,Neel JANI,Marc LIEB
Porsche Team #20,5,5,Porsche Team,Porsche 919 Hybrid,LMP1,H,Cota,6,2014,155,6:02:01.153,2 Laps,1 Laps,Michelin,Classified,130.0,1:51.376,178.3,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Toyota Racing #7,6,6,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Cota,6,2014,155,6:02:11.875,2 Laps,10.722,Michelin,Classified,132.0,1:51.383,178.3,Alexander WURZ,Stéphane SARRAZIN,Mike CONWAY
Rebellion Racing #12,7,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Cota,6,2014,149,6:02:07.889,8 Laps,6 Laps,Michelin,Classified,7.0,1:53.733,174.6,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
KCMG #47,8,1,KCMG,Oreca 03R - Nissan,LMP2,,Cota,6,2014,145,6:03:19.639,12 Laps,4 Laps,Dunlop,Classified,10.0,1:57.815,168.5,Matthew HOWSON,Richard BRADLEY,Tsugio MATSUDA
SMP Racing #27,9,2,SMP Racing,Oreca 03R - Nissan,LMP2,,Cota,6,2014,145,6:04:04.002,12 Laps,44.363,Michelin,Classified,5.0,1:59.273,166.5,Sergey ZLOBIN,Nicolas MINASSIAN,Maurizio MEDIANI
Extreme Speed Motorsports #30,10,3,Extreme Speed Motorsports,HPD ARX 03B - Honda,LMP2,,Cota,6,2014,141,6:02:53.235,16 Laps,4 Laps,Dunlop,Classified,18.0,1:57.581,168.9,Scott SHARP,Ryan DALZIEL,Ed BROWN
Aston Martin Racing #97,11,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Cota,6,2014,141,6:03:00.639,16 Laps,7.404,Michelin,Classified,88.0,2:06.122,157.4,Darren TURNER,Stefan MÜCKE,
Porsche Team Manthey #92,12,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Cota,6,2014,141,6:03:09.958,16 Laps,9.319,Michelin,Classified,88.0,2:06.680,156.8,Frédéric MAKOWIECKI,Patrick PILET,
AF Corse #51,13,3,AF Corse,Ferrari 458 Italia,LMGTE Pro,,Cota,6,2014,141,6:03:18.875,16 Laps,8.917,Michelin,Classified,95.0,2:06.361,157.1,Gianmaria BRUNI,Toni VILANDER,
G-Drive Racing #26,14,4,G-Drive Racing,Ligier JS P2 - Nissan,LMP2,,Cota,6,2014,141,6:03:37.000,16 Laps,18.125,Dunlop,Classified,4.0,1:57.285,169.3,Roman RUSINOV,Olivier PLA,Julien CANAL
Lotus #9,15,8,Lotus,CLM P1/01 - AER,LMP1,L,Cota,6,2014,140,6:02:41.822,17 Laps,1 Laps,Michelin,Classified,120.0,1:59.547,166.1,Christophe BOUCHUT,James ROSSITER,Lucas AUER
Porsche Team Manthey #91,16,4,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Cota,6,2014,139,6:01:54.143,18 Laps,1 Laps,Michelin,Classified,104.0,2:06.186,157.4,Jörg BERGMEISTER,Nick TANDY,
Aston Martin Racing #98,17,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Cota,6,2014,138,6:03:47.721,19 Laps,1 Laps,Michelin,Classified,11.0,2:06.537,156.9,Paul DALLA LANA,Pedro LAMY,Christoffer NYGAARD
Aston Martin Racing #95,18,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Cota,6,2014,138,6:03:48.720,19 Laps,0.999,Michelin,Classified,126.0,2:05.881,157.7,Kristian POULSEN,David HEINEMEIER-HANSSON,Richie STANAWAY
AF Corse #71,19,5,AF Corse,Ferrari 458 Italia,LMGTE Pro,,Cota,6,2014,137,6:02:09.767,20 Laps,1 Laps,Michelin,Classified,37.0,2:06.795,156.6,Davide RIGON,James CALADO,
Proton Competition #88,20,3,Proton Competition,Porsche 911 RSR,LMGTE Am,,Cota,6,2014,137,6:02:22.135,20 Laps,12.368,Michelin,Classified,115.0,2:06.943,156.4,Christian RIED,Klaus BACHLER,Khaled AL QUBAISI
AF Corse #61,21,4,AF Corse,Ferrari 458 Italia,LMGTE Am,,Cota,6,2014,137,6:02:28.309,20 Laps,6.174,Michelin,Classified,84.0,2:07.334,155.9,Luis PEREZ-COMPANC,Marco CIOCI,Mirko VENTURI
Aston Martin Racing #99,22,6,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Cota,6,2014,137,6:02:43.825,20 Laps,15.516,Michelin,Classified,33.0,2:06.711,156.7,Alex MACDOWALL,Darryl O'YOUNG,Fernando REES
8 Star Motorsports #90,23,5,8 Star Motorsports,Ferrari 458 Italia,LMGTE Am,,Cota,6,2014,136,6:02:44.739,21 Laps,1 Laps,Michelin,Classified,4.0,2:07.178,156.1,Gianluca RODA,Paolo RUBERTI,Jeffrey SEGAL
Corvette Racing #65,24,7,Corvette Racing,Corvette C7.R,LMGTE Pro,,Cota,6,2014,135,6:02:08.152,22 Laps,1 Laps,Michelin,Classified,119.0,2:06.446,157.0,Ricky TAYLOR,Jordan TAYLOR,Tom MILNER
Krohn Racing #57,25,6,Krohn Racing,Ferrari 458 Italia,LMGTE Am,,Cota,6,2014,135,6:02:45.118,22 Laps,36.966,Michelin,Classified,120.0,2:07.961,155.2,Tracy KROHN,Niclas JÖNSSON,Ben COLLINS
AF Corse #81,26,7,AF Corse,Ferrari 458 Italia,LMGTE Am,,Cota,6,2014,133,6:03:25.929,24 Laps,2 Laps,Michelin,Classified,118.0,2:06.820,156.6,Stephen WYATT,Michele RUGOLO,Andrea BERTOLINI
Prospeed Competition #75,27,8,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Am,,Cota,6,2014,111,6:02:56.219,46 Laps,22 Laps,Michelin,Classified,24.0,2:08.316,154.8,François PERRODO,Emmanuel COLLARD,Matthieu VAXIVIÈRE
