car,overall_position,class_position,team,vehicle,class,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,season_race,fl_time_seconds
Toyota Racing #8,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Silverstone,6,2014,167,5:22:42.296,0,0,Michelin,Classified,112.0,00:01:44.646000,202.7,Silverstone-2014,104.646
Toyota Racing #7,2,2,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Silverstone,6,2014,166,5:23:14.056,1 Laps,1 Laps,Michelin,Classified,17.0,00:01:44.326000,203.3,Silverstone-2014,104.326
Porsche Team #20,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,Silverstone,6,2014,165,5:22:47.120,2 Laps,1 Laps,Michelin,Classified,4.0,00:01:45.245000,201.5,Silverstone-2014,105.245
Rebellion Racing #12,4,4,Rebellion Racing,Lola B12/60 - Toyota,LMP1,Silverstone,6,2014,159,5:23:52.071,8 Laps,6 Laps,Michelin,Classified,5.0,00:01:47.195000,197.8,Silverstone-2014,107.195
G-Drive Racing #26,5,1,G-Drive Racing,Morgan - Nissan,LMP2,Silverstone,6,2014,154,5:24:15.065,13 Laps,5 Laps,Dunlop,Classified,3.0,00:01:51.339000,190.5,Silverstone-2014,111.339
KCMG #47,6,2,KCMG,Oreca 03 - Nissan,LMP2,Silverstone,6,2014,152,5:22:59.911,15 Laps,2 Laps,Dunlop,Classified,4.0,00:01:51.597000,190.0,Silverstone-2014,111.597
Porsche Team Manthey #92,7,1,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Silverstone,6,2014,147,5:23:11.855,20 Laps,5 Laps,Michelin,Classified,3.0,00:02:00.963000,175.3,Silverstone-2014,120.963
Porsche Team Manthey #91,8,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Silverstone,6,2014,147,5:23:57.636,20 Laps,45.781,Michelin,Classified,3.0,00:02:01.075000,175.2,Silverstone-2014,121.075
Aston Martin Racing #97,9,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Silverstone,6,2014,147,5:24:39.700,20 Laps,42.064,Michelin,Classified,3.0,00:02:02.054000,173.7,Silverstone-2014,122.054
AF Corse #51,10,4,AF Corse,Ferrari F458 Italia,LMGTE Pro,Silverstone,6,2014,147,5:25:11.062,20 Laps,31.362,Michelin,Classified,3.0,00:02:01.282000,174.9,Silverstone-2014,121.282
AF Corse #71,11,5,AF Corse,Ferrari F458 Italia,LMGTE Pro,Silverstone,6,2014,146,5:25:06.489,21 Laps,1 Laps,Michelin,Classified,3.0,00:02:01.909000,174.0,Silverstone-2014,121.909
RAM Racing #52,12,6,RAM Racing,Ferrari F458 Italia,LMGTE Pro,Silverstone,6,2014,146,5:25:09.645,21 Laps,3.156,Michelin,Classified,97.0,00:02:02.651000,172.9,Silverstone-2014,122.651
SMP Racing #27,13,3,SMP Racing,Oreca 03 - Nissan,LMP2,Silverstone,6,2014,145,5:23:53.313,22 Laps,1 Laps,Michelin,Classified,4.0,00:01:52.798000,188.0,Silverstone-2014,112.798
Aston Martin Racing #99,14,7,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Silverstone,6,2014,144,5:23:56.399,23 Laps,1 Laps,Michelin,Classified,48.0,00:02:02.549000,173.0,Silverstone-2014,122.549
Aston Martin Racing #95,15,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Silverstone,6,2014,144,5:25:05.013,23 Laps,1'08.614,Michelin,Classified,114.0,00:02:02.656000,172.9,Silverstone-2014,122.656
Aston Martin Racing #98,16,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Silverstone,6,2014,144,5:25:12.509,23 Laps,7.496,Michelin,Classified,4.0,00:02:02.212000,173.5,Silverstone-2014,122.212
AF Corse #81,17,3,AF Corse,Ferrari F458 Italia,LMGTE Am,Silverstone,6,2014,143,5:25:12.924,24 Laps,1 Laps,Michelin,Classified,3.0,00:02:02.147000,173.6,Silverstone-2014,122.147
Proton Competition #88,18,4,Proton Competition,Porsche 911 RSR,LMGTE Am,Silverstone,6,2014,142,5:24:35.104,25 Laps,1 Laps,Michelin,Classified,3.0,00:02:02.414000,173.2,Silverstone-2014,122.414
RAM Racing #53,19,5,RAM Racing,Ferrari F458 Italia,LMGTE Am,Silverstone,6,2014,141,5:24:35.564,26 Laps,1 Laps,Michelin,Classified,39.0,00:02:04.077000,170.9,Silverstone-2014,124.077
AF Corse #61,20,6,AF Corse,Ferrari F458 Italia,LMGTE Am,Silverstone,6,2014,141,5:24:40.020,26 Laps,4.456,Michelin,Classified,3.0,00:02:02.706000,172.8,Silverstone-2014,122.706
Audi Sport Team Joest #2,21,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Silverstone,6,2014,94,3:03:21.796,73 Laps,47 Laps,Michelin,Not classified,17.0,00:01:44.217000,203.5,Silverstone-2014,104.217
Prospeed Competition #75,22,7,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Am,Silverstone,6,2014,83,3:07:49.251,84 Laps,11 Laps,Michelin,Not classified,72.0,00:02:04.015000,171.0,Silverstone-2014,124.015
SMP Racing #37,23,4,SMP Racing,Oreca 03 - Nissan,LMP2,Silverstone,6,2014,65,2:19:23.736,102 Laps,18 Laps,Michelin,Not classified,5.0,00:01:52.734000,188.1,Silverstone-2014,112.734
Porsche Team #14,24,6,Porsche Team,Porsche 919 Hybrid,LMP1,Silverstone,6,2014,30,1:16:04.499,137 Laps,35 Laps,Michelin,Not classified,6.0,00:01:45.452000,201.1,Silverstone-2014,105.452
Rebellion Racing #13,25,7,Rebellion Racing,Lola B12/60 - Toyota,LMP1,Silverstone,6,2014,24,47:36.114,143 Laps,6 Laps,Michelin,Not classified,5.0,00:01:47.120000,198.0,Silverstone-2014,107.12
Audi Sport Team Joest #1,26,8,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Silverstone,6,2014,24,54:08.972,143 Laps,6'32.858,Michelin,Not classified,17.0,00:01:44.656000,202.6,Silverstone-2014,104.656
8 Star Motorsports #90,27,8,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,Silverstone,6,2014,118,4:29:24.266,49 Laps,-94 Laps,Michelin,Retired,3.0,00:02:02.878000,172.6,Silverstone-2014,122.878
Toyota Racing #8,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Spa,6,2014,171,6:01:31.675,0,0,Michelin,Classified,119.0,00:02:01.327000,207.8,Spa-2014,121.327
Audi Sport Team Joest #1,2,2,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Spa,6,2014,171,6:02:45.601,1'13.926,1'13.926,Michelin,Classified,7.0,00:02:02.600000,205.7,Spa-2014,122.6
Toyota Racing #7,3,3,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Spa,6,2014,171,6:02:52.536,1'20.861,6.935,Michelin,Classified,23.0,00:02:02.089000,206.5,Spa-2014,122.089
Porsche Team #14,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,Spa,6,2014,170,6:02:06.145,1 Laps,1 Laps,Michelin,Classified,3.0,00:02:01.898000,206.8,Spa-2014,121.898
Audi Sport Team Joest #2,5,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Spa,6,2014,170,6:02:58.145,1 Laps,52.000,Michelin,Classified,7.0,00:02:03.018000,205.0,Spa-2014,123.018
Audi Sport Team Joest #3,6,6,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Spa,6,2014,169,6:01:41.952,2 Laps,1 Laps,Michelin,Classified,51.0,00:02:03.383000,204.4,Spa-2014,123.383
Rebellion Racing #12,7,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,Spa,6,2014,161,6:03:43.512,10 Laps,8 Laps,Michelin,Classified,62.0,00:02:08.928000,195.6,Spa-2014,128.928
G-Drive Racing #26,8,1,G-Drive Racing,Morgan - Nissan,LMP2,Spa,6,2014,160,6:02:16.828,11 Laps,1 Laps,Dunlop,Classified,134.0,00:02:10.112000,193.8,Spa-2014,130.112
Jota Sport #38,9,2,Jota Sport,Zytek Z11SN - Nissan,LMP2,Spa,6,2014,160,6:03:28.024,11 Laps,1'11.196,Dunlop,Classified,89.0,00:02:10.657000,193.0,Spa-2014,130.657
KCMG #47,10,3,KCMG,Oreca 03 - Nissan,LMP2,Spa,6,2014,159,6:03:13.494,12 Laps,1 Laps,Dunlop,Classified,3.0,00:02:10.625000,193.0,Spa-2014,130.625
SMP Racing #37,11,4,SMP Racing,Oreca 03 - Nissan,LMP2,Spa,6,2014,158,6:01:32.946,13 Laps,1 Laps,Michelin,Classified,127.0,00:02:11.096000,192.3,Spa-2014,131.096
SMP Racing #27,12,5,SMP Racing,Oreca 03 - Nissan,LMP2,Spa,6,2014,158,6:02:42.799,13 Laps,1'09.853,Michelin,Classified,3.0,00:02:10.686000,192.9,Spa-2014,130.686
AF Corse #51,13,1,AF Corse,Ferrari F458 Italia,LMGTE Pro,Spa,6,2014,152,6:03:44.950,19 Laps,6 Laps,Michelin,Classified,2.0,00:02:19.653000,180.5,Spa-2014,139.653
Porsche Team Manthey #91,14,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Spa,6,2014,151,6:01:48.577,20 Laps,1 Laps,Michelin,Classified,139.0,00:02:20,180.1,Spa-2014,140.0
AF Corse #71,15,3,AF Corse,Ferrari F458 Italia,LMGTE Pro,Spa,6,2014,151,6:02:00.192,20 Laps,11.615,Michelin,Classified,54.0,00:02:19.624000,180.6,Spa-2014,139.624
Aston Martin Racing #97,16,4,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Spa,6,2014,151,6:02:10.181,20 Laps,9.989,Michelin,Classified,2.0,00:02:20.289000,179.7,Spa-2014,140.289
Aston Martin Racing #99,17,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Spa,6,2014,150,6:02:40.637,21 Laps,1 Laps,Michelin,Classified,111.0,00:02:20.217000,179.8,Spa-2014,140.217
AF Corse #61,18,1,AF Corse,Ferrari F458 Italia,LMGTE Am,Spa,6,2014,149,6:01:46.306,22 Laps,1 Laps,Michelin,Classified,80.0,00:02:20.590000,179.3,Spa-2014,140.59
Aston Martin Racing #95,19,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Spa,6,2014,149,6:02:18.547,22 Laps,32.241,Michelin,Classified,21.0,00:02:20.748000,179.1,Spa-2014,140.748
Aston Martin Racing #98,20,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Spa,6,2014,149,6:02:42.378,22 Laps,23.831,Michelin,Classified,125.0,00:02:20.334000,179.7,Spa-2014,140.334
Porsche Team Manthey #92,21,6,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Spa,6,2014,148,6:01:43.834,23 Laps,1 Laps,Michelin,Classified,107.0,00:02:20.042000,180.0,Spa-2014,140.042
Proton Competition #88,22,4,Proton Competition,Porsche 911 RSR,LMGTE Am,Spa,6,2014,148,6:02:41.399,23 Laps,57.565,Michelin,Classified,114.0,00:02:20.506000,179.5,Spa-2014,140.506
Porsche Team #20,23,8,Porsche Team,Porsche 919 Hybrid,LMP1,Spa,6,2014,148,6:02:58.784,23 Laps,17.385,Michelin,Classified,4.0,00:02:02.682000,205.5,Spa-2014,122.682
AF Corse #81,24,5,AF Corse,Ferrari F458 Italia,LMGTE Am,Spa,6,2014,148,6:03:08.557,23 Laps,9.773,Michelin,Classified,59.0,00:02:20.367000,179.6,Spa-2014,140.367
Prospeed Competition #75,25,6,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Am,Spa,6,2014,146,6:03:10.224,25 Laps,2 Laps,Michelin,Classified,2.0,00:02:21.617000,178.0,Spa-2014,141.617
AF Corse #60,26,7,AF Corse,Ferrari F458 Italia,LMGTE Am,Spa,6,2014,145,6:02:03.295,26 Laps,1 Laps,Michelin,Classified,6.0,00:02:20.688000,179.2,Spa-2014,140.688
8 Star Motorsports #90,27,8,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,Spa,6,2014,142,6:03:24.142,29 Laps,3 Laps,Michelin,Classified,6.0,00:02:20.020000,180.1,Spa-2014,140.02
Rebellion Racing #13,28,9,Rebellion Racing,Rebellion R-One - Toyota,LMP1,Spa,6,2014,47,4:46:18.036,124 Laps,95 Laps,Michelin,Not classified,14.0,00:02:13.217000,189.3,Spa-2014,133.217
Toyota Racing #7,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Bahrain,6,2014,195,6:00:18.056,0,0,Michelin,Classified,80.0,00:01:46.377000,183.2,Bahrain-2014,106.377
Porsche Team #14,2,2,Porsche Team,Porsche 919 Hybrid,LMP1,Bahrain,6,2014,195,6:01:08.516,50.460,50.460,Michelin,Classified,156.0,00:01:46.157000,183.5,Bahrain-2014,106.157
Porsche Team #20,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,Bahrain,6,2014,195,6:01:15.324,57.268,6.808,Michelin,Classified,82.0,00:01:46.388000,183.1,Bahrain-2014,106.388
Audi Sport Team Joest #2,4,4,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Bahrain,6,2014,194,6:02:01.016,1 Laps,1 Laps,Michelin,Classified,49.0,00:01:46.126000,183.6,Bahrain-2014,106.126
Audi Sport Team Joest #1,5,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Bahrain,6,2014,193,6:01:31.231,2 Laps,1 Laps,Michelin,Classified,132.0,00:01:46.142000,183.6,Bahrain-2014,106.142
Rebellion Racing #13,6,6,Rebellion Racing,Rebellion R-One - Toyota,LMP1,Bahrain,6,2014,188,6:01:52.512,7 Laps,5 Laps,Michelin,Classified,146.0,00:01:50.022000,177.1,Bahrain-2014,110.022
Rebellion Racing #12,7,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,Bahrain,6,2014,182,6:01:51.857,13 Laps,6 Laps,Michelin,Classified,164.0,00:01:49.164000,178.5,Bahrain-2014,109.164
KCMG #47,8,1,KCMG,Oreca 03R - Nissan,LMP2,Bahrain,6,2014,181,6:02:05.985,14 Laps,1 Laps,Dunlop,Classified,10.0,00:01:53.178000,172.1,Bahrain-2014,113.178
SMP Racing #37,9,2,SMP Racing,Oreca 03R - Nissan,LMP2,Bahrain,6,2014,178,6:00:52.239,17 Laps,3 Laps,Michelin,Classified,9.0,00:01:53.056000,172.3,Bahrain-2014,113.056
OAK Racing #35,10,3,OAK Racing,Morgan - Judd,LMP2,Bahrain,6,2014,178,6:01:42.087,17 Laps,49.848,Dunlop,Classified,24.0,00:01:55.916000,168.1,Bahrain-2014,115.916
Toyota Racing #8,11,8,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Bahrain,6,2014,177,6:00:18.376,18 Laps,1 Laps,Michelin,Classified,122.0,00:01:45.989000,183.8,Bahrain-2014,105.989
G-Drive Racing #26,12,4,G-Drive Racing,Ligier JS P2 - Nissan,LMP2,Bahrain,6,2014,177,6:02:02.077,18 Laps,1'43.701,Dunlop,Classified,154.0,00:01:52.283000,173.5,Bahrain-2014,112.283
AF Corse #51,13,1,AF Corse,Ferrari F458 Italia,LMGTE Pro,Bahrain,6,2014,173,6:00:26.170,22 Laps,4 Laps,Michelin,Classified,119.0,00:02:00.003000,162.4,Bahrain-2014,120.003
Aston Martin Racing #97,14,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Bahrain,6,2014,173,6:00:28.049,22 Laps,1.879,Michelin,Classified,152.0,00:02:00.141000,162.2,Bahrain-2014,120.141
AF Corse #71,15,3,AF Corse,Ferrari F458 Italia,LMGTE Pro,Bahrain,6,2014,173,6:01:11.913,22 Laps,43.864,Michelin,Classified,125.0,00:02:00.843000,161.2,Bahrain-2014,120.843
Porsche Team Manthey #91,16,4,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Bahrain,6,2014,173,6:01:14.437,22 Laps,2.524,Michelin,Classified,125.0,00:02:00.611000,161.5,Bahrain-2014,120.611
Porsche Team Manthey #92,17,5,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Bahrain,6,2014,172,6:00:31.896,23 Laps,1 Laps,Michelin,Classified,98.0,00:02:00.246000,162.0,Bahrain-2014,120.246
Aston Martin Racing #95,18,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Bahrain,6,2014,172,6:02:23.313,23 Laps,1'51.417,Michelin,Classified,124.0,00:02:00.382000,161.8,Bahrain-2014,120.382
AF Corse #81,19,2,AF Corse,Ferrari F458 Italia,LMGTE Am,Bahrain,6,2014,171,6:01:01.141,24 Laps,1 Laps,Michelin,Classified,61.0,00:02:00.425000,161.8,Bahrain-2014,120.425
Aston Martin Racing #98,20,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Bahrain,6,2014,171,6:01:25.953,24 Laps,24.812,Michelin,Classified,119.0,00:02:00.792000,161.3,Bahrain-2014,120.792
Proton Competition #88,21,4,Proton Competition,Porsche 911 RSR,LMGTE Am,Bahrain,6,2014,170,6:00:19.916,25 Laps,1 Laps,Michelin,Classified,152.0,00:02:01.240000,160.7,Bahrain-2014,121.24
8 Star Motorsports #90,22,5,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,Bahrain,6,2014,170,6:01:20.720,25 Laps,1'00.804,Michelin,Classified,144.0,00:02:01.321000,160.6,Bahrain-2014,121.321
AF Corse #61,23,6,AF Corse,Ferrari F458 Italia,LMGTE Am,Bahrain,6,2014,170,6:01:33.264,25 Laps,12.544,Michelin,Classified,145.0,00:02:00.925000,161.1,Bahrain-2014,120.925
Aston Martin Racing #99,24,6,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Bahrain,6,2014,170,6:01:38.735,25 Laps,5.471,Michelin,Classified,116.0,00:02:00.354000,161.9,Bahrain-2014,120.354
Prospeed Competition #75,25,7,Prospeed Competition,Porsche 911 RSR,LMGTE Am,Bahrain,6,2014,170,6:02:13.584,25 Laps,34.849,Michelin,Classified,145.0,00:02:01.459000,160.4,Bahrain-2014,121.459
SMP Racing #27,26,5,SMP Racing,Oreca 03R - Nissan,LMP2,Bahrain,6,2014,171,5:45:33.303,24 Laps,-1 Laps,Michelin,Not classified,8.0,00:01:52.999000,172.4,Bahrain-2014,112.999
Lotus #9,27,9,Lotus,CLM P1/01 - AER,LMP1,Bahrain,6,2014,1,1:59.627,194 Laps,170 Laps,Michelin,Not classified,0.0,0,0.0,Bahrain-2014,
Audi Sport Team Joest #2,1,1,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Cota,6,2014,157,6:01:52.122,0,0,Michelin,Classified,134.0,00:01:51.521000,178.1,Cota-2014,111.521
Audi Sport Team Joest #1,2,2,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Cota,6,2014,157,6:02:45.138,53.016,53.016,Michelin,Classified,127.0,00:01:50.782000,179.2,Cota-2014,110.782
Toyota Racing #8,3,3,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Cota,6,2014,157,6:02:56.067,1'03.945,10.929,Michelin,Classified,138.0,00:01:50.390000,179.9,Cota-2014,110.39
Porsche Team #14,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,Cota,6,2014,156,6:01:56.755,1 Laps,1 Laps,Michelin,Classified,43.0,00:01:51.506000,178.1,Cota-2014,111.506
Porsche Team #20,5,5,Porsche Team,Porsche 919 Hybrid,LMP1,Cota,6,2014,155,6:02:01.153,2 Laps,1 Laps,Michelin,Classified,130.0,00:01:51.376000,178.3,Cota-2014,111.376
Toyota Racing #7,6,6,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Cota,6,2014,155,6:02:11.875,2 Laps,10.722,Michelin,Classified,132.0,00:01:51.383000,178.3,Cota-2014,111.383
Rebellion Racing #12,7,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,Cota,6,2014,149,6:02:07.889,8 Laps,6 Laps,Michelin,Classified,7.0,00:01:53.733000,174.6,Cota-2014,113.733
KCMG #47,8,1,KCMG,Oreca 03R - Nissan,LMP2,Cota,6,2014,145,6:03:19.639,12 Laps,4 Laps,Dunlop,Classified,10.0,00:01:57.815000,168.5,Cota-2014,117.815
SMP Racing #27,9,2,SMP Racing,Oreca 03R - Nissan,LMP2,Cota,6,2014,145,6:04:04.002,12 Laps,44.363,Michelin,Classified,5.0,00:01:59.273000,166.5,Cota-2014,119.273
Extreme Speed Motorsports #30,10,3,Extreme Speed Motorsports,HPD ARX 03B - Honda,LMP2,Cota,6,2014,141,6:02:53.235,16 Laps,4 Laps,Dunlop,Classified,18.0,00:01:57.581000,168.9,Cota-2014,117.581
Aston Martin Racing #97,11,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Cota,6,2014,141,6:03:00.639,16 Laps,7.404,Michelin,Classified,88.0,00:02:06.122000,157.4,Cota-2014,126.122
Porsche Team Manthey #92,12,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Cota,6,2014,141,6:03:09.958,16 Laps,9.319,Michelin,Classified,88.0,00:02:06.680000,156.8,Cota-2014,126.68
AF Corse #51,13,3,AF Corse,Ferrari 458 Italia,LMGTE Pro,Cota,6,2014,141,6:03:18.875,16 Laps,8.917,Michelin,Classified,95.0,00:02:06.361000,157.1,Cota-2014,126.361
G-Drive Racing #26,14,4,G-Drive Racing,Ligier JS P2 - Nissan,LMP2,Cota,6,2014,141,6:03:37.000,16 Laps,18.125,Dunlop,Classified,4.0,00:01:57.285000,169.3,Cota-2014,117.285
Lotus #9,15,8,Lotus,CLM P1/01 - AER,LMP1,Cota,6,2014,140,6:02:41.822,17 Laps,1 Laps,Michelin,Classified,120.0,00:01:59.547000,166.1,Cota-2014,119.547
Porsche Team Manthey #91,16,4,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Cota,6,2014,139,6:01:54.143,18 Laps,1 Laps,Michelin,Classified,104.0,00:02:06.186000,157.4,Cota-2014,126.186
Aston Martin Racing #98,17,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Cota,6,2014,138,6:03:47.721,19 Laps,1 Laps,Michelin,Classified,11.0,00:02:06.537000,156.9,Cota-2014,126.537
Aston Martin Racing #95,18,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,Cota,6,2014,138,6:03:48.720,19 Laps,0.999,Michelin,Classified,126.0,00:02:05.881000,157.7,Cota-2014,125.881
AF Corse #71,19,5,AF Corse,Ferrari 458 Italia,LMGTE Pro,Cota,6,2014,137,6:02:09.767,20 Laps,1 Laps,Michelin,Classified,37.0,00:02:06.795000,156.6,Cota-2014,126.795
Proton Competition #88,20,3,Proton Competition,Porsche 911 RSR,LMGTE Am,Cota,6,2014,137,6:02:22.135,20 Laps,12.368,Michelin,Classified,115.0,00:02:06.943000,156.4,Cota-2014,126.943
AF Corse #61,21,4,AF Corse,Ferrari 458 Italia,LMGTE Am,Cota,6,2014,137,6:02:28.309,20 Laps,6.174,Michelin,Classified,84.0,00:02:07.334000,155.9,Cota-2014,127.334
Aston Martin Racing #99,22,6,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Cota,6,2014,137,6:02:43.825,20 Laps,15.516,Michelin,Classified,33.0,00:02:06.711000,156.7,Cota-2014,126.711
8 Star Motorsports #90,23,5,8 Star Motorsports,Ferrari 458 Italia,LMGTE Am,Cota,6,2014,136,6:02:44.739,21 Laps,1 Laps,Michelin,Classified,4.0,00:02:07.178000,156.1,Cota-2014,127.178
Corvette Racing #65,24,7,Corvette Racing,Corvette C7.R,LMGTE Pro,Cota,6,2014,135,6:02:08.152,22 Laps,1 Laps,Michelin,Classified,119.0,00:02:06.446000,157.0,Cota-2014,126.446
Krohn Racing #57,25,6,Krohn Racing,Ferrari 458 Italia,LMGTE Am,Cota,6,2014,135,6:02:45.118,22 Laps,36.966,Michelin,Classified,120.0,00:02:07.961000,155.2,Cota-2014,127.961
AF Corse #81,26,7,AF Corse,Ferrari 458 Italia,LMGTE Am,Cota,6,2014,133,6:03:25.929,24 Laps,2 Laps,Michelin,Classified,118.0,00:02:06.820000,156.6,Cota-2014,126.82
Prospeed Competition #75,27,8,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Am,Cota,6,2014,111,6:02:56.219,46 Laps,22 Laps,Michelin,Classified,24.0,00:02:08.316000,154.8,Cota-2014,128.316
Rebellion Racing #13,28,9,Rebellion Racing,Rebellion R-One - Toyota,LMP1,Cota,6,2014,88,4:04:55.059,69 Laps,23 Laps,Michelin,Not classified,18.0,00:01:54.576000,173.3,Cota-2014,114.576
SMP Racing #37,29,5,SMP Racing,Oreca 03R - Nissan,LMP2,Cota,6,2014,75,3:36:27.829,82 Laps,13 Laps,Michelin,Not classified,3.0,00:01:59.456000,166.2,Cota-2014,119.456
Toyota Racing #8,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Fuji,6,2014,236,6:00:39.367,0,0,Michelin,Classified,222.0,00:01:27.815000,187.1,Fuji-2014,87.815
Toyota Racing #7,2,2,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Fuji,6,2014,236,6:01:04.994,25.627,25.627,Michelin,Classified,210.0,00:01:27.887000,186.9,Fuji-2014,87.887
Porsche Team #20,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,Fuji,6,2014,235,6:01:53.875,1 Laps,1 Laps,Michelin,Classified,12.0,00:01:27.759000,187.2,Fuji-2014,87.759
Porsche Team #14,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,Fuji,6,2014,234,6:01:19.485,2 Laps,1 Laps,Michelin,Classified,191.0,00:01:28.533000,185.5,Fuji-2014,88.533
Audi Sport Team Joest #1,5,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Fuji,6,2014,234,6:01:36.302,2 Laps,16.817,Michelin,Classified,73.0,00:01:28.609000,185.4,Fuji-2014,88.609
Audi Sport Team Joest #2,6,6,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,Fuji,6,2014,233,6:01:31.183,3 Laps,1 Laps,Michelin,Classified,11.0,00:01:28.898000,184.8,Fuji-2014,88.898
G-Drive Racing #26,7,1,G-Drive Racing,Ligier JS P2 - Nissan,LMP2,Fuji,6,2014,219,6:01:05.703,17 Laps,14 Laps,Dunlop,Classified,199.0,00:01:33.996000,174.8,Fuji-2014,93.996
KCMG #47,8,2,KCMG,Oreca 03R - Nissan,LMP2,Fuji,6,2014,219,6:01:11.137,17 Laps,5.434,Dunlop,Classified,22.0,00:01:34.231000,174.3,Fuji-2014,94.231
OAK Racing #35,9,3,OAK Racing,Morgan - Judd,LMP2,Fuji,6,2014,216,6:01:47.663,20 Laps,3 Laps,Dunlop,Classified,7.0,00:01:34.645000,173.6,Fuji-2014,94.645
SMP Racing #27,10,4,SMP Racing,Oreca 03R - Nissan,LMP2,Fuji,6,2014,215,6:01:05.098,21 Laps,1 Laps,Michelin,Classified,5.0,00:01:35.001000,172.9,Fuji-2014,95.001
Rebellion Racing #13,11,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,Fuji,6,2014,215,6:01:28.985,21 Laps,23.887,Michelin,Classified,7.0,00:01:32.080000,178.4,Fuji-2014,92.08
SMP Racing #37,12,5,SMP Racing,Oreca 03R - Nissan,LMP2,Fuji,6,2014,212,6:02:08.311,24 Laps,3 Laps,Michelin,Classified,10.0,00:01:34.863000,173.2,Fuji-2014,94.863
AF Corse #51,13,1,AF Corse,Ferrari F458 Italia,LMGTE Pro,Fuji,6,2014,208,6:01:30.795,28 Laps,4 Laps,Michelin,Classified,72.0,00:01:40.711000,163.1,Fuji-2014,100.711
AF Corse #71,14,2,AF Corse,Ferrari F458 Italia,LMGTE Pro,Fuji,6,2014,208,6:01:33.697,28 Laps,2.902,Michelin,Classified,74.0,00:01:40.696000,163.1,Fuji-2014,100.696
